Designator,PartNumber,Value,Description,Manufacturer,MPN,Supplier1,SupplierPartNumber1,Quantity

"BAT","Keystone_CR1025","3030","SMT holder for  CR1025 battery","Keystone","","Digi-Key","36-3030-ND","1"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C52, C53, C54, C55, C56, C57, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C95, C96, C97, D1, D2, D3, D4, D6, D7, D8, D9, D10, DEBUG, DONE, FAN, FAN2, FAN3, IC1, IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9, IC10, IC12, IC13, J1, J3, J4, J7, L1, L2, L3, L4, L5, L6, L7, L9, LED1, LED3, LED4, LED5, M1, M2, M3, POR, PWR_USB, Q1, Q2, Q4, R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, RA1, RST, SP1, SP2, SP3, SP4, T1, T2, T3, Y1, Z1, Z2, Z3, Z4","","100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 1u, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 47u, 4u7, 4u7, 4u7, 4u7, 100n, 100n, 22u, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100u, 18p, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 10n, 47p, 47p, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 100n, 1u, 100n, 100n, 18p, 1N4148WS, 1N4148WS, TPD6E05U06, TPD6E05U06, TPD6E05U06, TPD4E05U06, TPD4E05U06, 1N4148WS, 1N4148WS, Molex 47346-0001, KPBA-3010SURKMGKC, [NoValue], MOLEX_2201-2021, MOLEX_008650805, NTS0104PW, PTN3363BSMP, FT2232D, TLV70033DCKT, AP1117E50G-13, EG-2102CB, AP1117E50G-13, TPD8S009, PTN3363BSMP, TPD8S009, NTS0104PW, FIN1019MTCX, [NoParam], 694106106102, 114-00841-68, [NoValue], BLM18SG121TN1D, BLM18EG221SN1D, DLW21SN900SQ2, DLW21SN900SQ2, DLW21SN900SQ2, BLM18SG121TN1D, BLM18SG121TN1D, BLM18SG121TN1D, KPBA-3010SURKMGKC, KPT-1608SGC, KPT-1608SGC, KPT-1608SGC, FX10A-168P-SV(71), FX10A-168P-SV(71), FX10A-168P-SV(71), B3S-100X, KPT-1608SGC, PMGD780SN, PMGD780SN, PMV32UP, 10k, 22R, 470R, 10k, 10k, 330R, 330R, 330R, 330R, 0R, 0R, 10k, 10k, 0R, 0R, 150R, 150R, 0R, 10k, 10k, 330R, 10k, 0R, 10R, 100k, 100k, 50R, 50R, 0R, 100k, 1M, 1M, 2k49, 1k5, 22R, 470R, 100k, 100k, 100k, 100R, 470R, 10k, 10k, 0R, 470R, 0R, 10k, 0R, 10k, 10k, 10k, 10k, 0R, 22R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 12k4, 10k, 10k, 10k, 12k4, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 0R, 10k, 10k, 0R, 22R, 1k54, 10k, 0R, 22R, B3S-100X, 9774040243, 9774040243, 9774040243, 9774040243, 7498111120R, SI4447DY-T1-E3, BSS138AKA, LFXTAL026900, [NoValue], FG30, ATS-61310W-C1-R0, MC30060V1-000U-A99","MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 1uF 0603, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 47uF 1206, MLCC SMT Capacitor 4u7F 0603, MLCC SMT Capacitor 4u7F 0603, MLCC SMT Capacitor 4u7F 0603, MLCC SMT Capacitor 4u7F 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, Tantalum SMT Capacitor 22uF Case KEMET_C, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100uF 0805, MLCC SMT Capacitor 18pF 0603, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 10nF 0603, MLCC SMT Capacitor 47pF 0402, MLCC SMT Capacitor 47pF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0603, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 1uF 0603, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 100nF 0402, MLCC SMT Capacitor 18pF 0603, Diode small signal, Diode small signal, ESD Suppressors 6-CH Pass through layout, ESD Suppressors 6-CH Pass through layout, ESD Suppressors 6-CH Pass through layout, ESD Suppressors 4-CH, ESD Suppressors 4-CH, Diode small signal, Diode small signal, USB - micro B Receptacle Connector 5 Position Surface Mount, Right Angle, Horizontal, LED SMD 1104 red/green 3x1mm 140° Lens: transparent, 1x2 pinhead male angle, KK 254 Crimp Housing 2 circuits, conn term female 22-30 awg tin, 4 bit voltage level translator, HDMI level shifter, Dual USB-UART/FIFO, Voltage Regulator, 2V to 5.5V, 175mV Dropout, 3.3Vout, 200mAout, LDO, 2V/5.5V, 1A, 5V,  SOT223, Standard Clock Oscillators 156.25MHz 3V3, LDO, 2V/5.5V, 1A, 5V,  SOT223, 8-Channel ESD Protection for DisplayPort and HDMI, HDMI level shifter, 8-Channel ESD Protection for DisplayPort and HDMI, 4 bit voltage level translator, 3.3 V LVDS High Speed Differential Driver Receiver, PCI Express x16 164 2.36 mm, DC Power Jack Right Angled SMT Ø6.4 with 4 soldering pads & pegs WR-DC, Micro SD card holder, Header right angle HDMI, FERRITE BEAD, 0.025OHM, 3A, 0603, MURATA 	BLM18EG221SN1D  FERRITE BEAD, 0.05OHM, 2A, 0603, Common mode choke, Common mode choke, Common mode choke, FERRITE BEAD, 0.025OHM, 3A, 0603, FERRITE BEAD, 0.025OHM, 3A, 0603, FERRITE BEAD, 0.025OHM, 3A, 0603, LED SMD 1104 red/green 3x1mm 140° Lens: transparent, LED Green 0603 case, LED Green 0603 case, LED Green 0603 case, Enclustra Mercury Ultrascale connector, Enclustra Mercury Ultrascale connector, Enclustra Mercury Ultrascale connector, [NoValue], LED Green 0603 case, 60 V, dual N-channel Trench MOSFET, 60 V, dual N-channel Trench MOSFET, P CH, 20V, 4A, SMT Resistor 10k 0603, Bourns, 4 x 22R, CAY16, SMT Resistor 470R 0603, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 330R 0603, SMT Resistor 330R 0603, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 150R 0603, SMT Resistor 150R 0603, SMT Resistor 0R 0603, SMT Resistor 10k 0603, SMT Resistor 0402, SMT Resistor 330R 0603, SMT Resistor 0402, SMT Resistor 0R 0603, SMT Resistor 10R 0603, SMT Resistor 100k 0603, SMT Resistor 100k 0603 1%, SMT Resistor 50R 0603 1%, SMT Resistor 50R 0603 1%, SMT Resistor 0R 0603, SMT Resistor 100k 0603 1%, SMT Resistor 1M 0603, SMT Resistor 1M 0603, SMT Resistor 2k49 0603 1%, SMT Resistor 1k5 0603, SMT Resistor 22R 0402, SMT Resistor 470R 0402, SMT Resistor 100k 0603, SMT Resistor 100k 0603, SMT Resistor 100k 0603, SMT Resistor 100R 0603, SMT Resistor 470R 0603, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 470R 0603, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 10k 0603, SMT Resistor 0R 0603, SMT Resistor 22R 0603, SMT Resistor 0R 0603, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0R 0603, SMT Resistor 0R 0603, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 12k4 0603 1%, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 12k4 0603 1%, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 0402, SMT Resistor 22R 0402, SMT Resistor 1k54 0402, SMT Resistor 0402, SMT Resistor 0402, YAGEO (PHYCOMP)  TC164-JR-0722RL  RESISTOR ARRAY, ARC241 1206 22R, [NoValue], M2x4, M2x4, M2x4, M2x4, LAN transformer 1000Base-T, p-channel MOSFET, SI4447DY-T1-E3, MOSFET, N CH, 60V, 0.2A, CRYSTAL, 6MHZ, 18PF, SMD, [NoValue], Fan Finger Guard, Grille, 30mm 30mm 24mm, steel, Heat Sinks FANSINK ASSY 30.25 X 30.25 X 24.5 (MM), Fan: DC; axial; 5VDC; 30x30x6mm; 8.32m3/h; 28dBA; Vapo; 3.55mmH2O","MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, WALSIN, MULTICOMP, MULTICOMP, WALSIN, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, WALSIN, WALSIN, MURATA, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, WALSIN, WALSIN, KEMET, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, WALSIN, WALSIN, WALSIN, WALSIN, WALSIN, WALSIN, WALSIN, WALSIN, MULTICOMP, MULTICOMP, WALSIN, MULTICOMP, MURATA, KEMET, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, AVX, KEMET, KEMET, MULTICOMP, MULTICOMP, MULTICOMP, WALSIN, WALSIN, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, KEMET, MULTICOMP, MULTICOMP, Texas Instruments, Texas Instruments, Texas Instruments, Texas Instruments, Texas Instruments, MULTICOMP, MULTICOMP, Molex, Kingbright, [NoValue], MOLEX, MOLEX, NXP, NXP, FTDI, TEXAS INSTRUMENTS, Diodes, Epson, Diodes, TEXAS INSTRUMENTS, NXP, TEXAS INSTRUMENTS, NXP, OM SEMICONDUCTOR, [NoParam], WURTH ELEKTRONIK, AMPHENOL COMMERCIAL PRODUCTS, MOLEX, MURATA, MURATA, MURATA, MURATA, MURATA, MURATA, MURATA, MURATA, Kingbright, KINGBRIGHT, KINGBRIGHT, KINGBRIGHT, Hirose, Hirose, Hirose, OMRON, KINGBRIGHT, NXP, NXP, NXP, BOURNS, BOURNS, BOURNS, MULTICOMP, MULTICOMP, BOURNS, BOURNS, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, BOURNS, BOURNS, MULTICOMP, BOURNS, MULTICOMP, BOURNS, MULTICOMP, BOURNS, BOURNS, VISHAY, VISHAY, BOURNS, BOURNS, BOURNS, BOURNS, Vishay, TE CONNECTIVITY / NEOHM, VISHAY, VISHAY, BOURNS, BOURNS, BOURNS, MULTICOMP, BOURNS, MULTICOMP, MULTICOMP, MULTICOMP, BOURNS, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, BOURNS, BOURNS, BOURNS, BOURNS, MULTICOMP, MULTICOMP, BOURNS, BOURNS, MULTICOMP, MULTICOMP, Vishay, MULTICOMP, MULTICOMP, MULTICOMP, Vishay, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, MULTICOMP, VISHAY, VISHAY, MULTICOMP, MULTICOMP, YAGEO (PHYCOMP), OMRON, WURTH ELEKTRONIK, WURTH ELEKTRONIK, WURTH ELEKTRONIK, WURTH ELEKTRONIK, WURTH ELEKTRONIK, VISHAY, NXP, IQD FREQUENCY PRODUCTS, [NoValue], SEPA, Advanced Thermal Solution, SUNON","","","","250"
"FAN1","molex_2223-2021","MX-22-23-2021","Pinhead connector with key","Molex","022232021 A-6373-02A222","TME","MX-22-23-2021","1"
"J2","QSE-060-01-L-D-A","QSE-060-01-L-D-A","SAMTEC 	QSE-60-01-L-D-A  Stacking Board Connector, Dual Row, QSE Series, Receptacle, 0.8 m, 120 Contacts, Surface Mount","SAMTEC","QSE-060-01-L-D-A","Farnell","1667872","1"
"J5","WE_692122030100","692122030100","","WURTH ELEKTRONIK","692122030100","Farnell","1861255","1"
"J6","CON-Molex-047272-0001","0472720001","","Molex","0472720001","Digi-Key","WM19271CT-ND","1"
"JTAG","CON-Molex-87831-1420","Molex-87831-1420","HEADER, SQUARE PIN, M/GRID, 14WAY","MOLEX","87831-1420","Farnell","7472285","1"
"R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110","R_0R_0402","0R","SMT Resistor 0402","MULTICOMP","","Farnell","2072513","16"
"R111","R_0R_0805","0R","SMT Resistor 0R 0805","VISHAY","","Farnell","1469846","1"
